Week starts,Time
14-Mar-21,480
21-Mar-21,780
28-Mar-21,495
4-Apr-21,560
11-Apr-21,155
18-Apr-21,0
25-Apr-21,260
2-May-21,835
9-May-21,0
16-May-21,0
23-May-21,0
30-May-21,1250
6-Jun-21,910
13-Jun-21,685
20-Jun-21,750
27-Jun-21,1210
4-Jul-21,850
11-Jul-21,1505
18-Jul-21,1115
25-Jul-21,855
1-Aug-21,0
8-Aug-21,890
15-Aug-21,1270
22-Aug-21,1110
29-Aug-21,870
5-Sep-21,430
12-Sep-21,0
19-Sep-21,490
26-Sep-21,1385
3-Oct-21,2750
10-Oct-21,245
17-Oct-21,570
24-Oct-21,1745
31-Oct-21,775
7-Nov-21,230
14-Nov-21,550
21-Nov-21,415
28-Nov-21,625
5-Dec-21,485
12-Dec-21,520
19-Dec-21,685
26-Dec-21,380
2-Jan-22,455
9-Jan-22,0
16-Jan-22,0
23-Jan-22,505
30-Jan-22,395
6-Feb-22,170
13-Feb-22,775
20-Feb-22,1805
27-Feb-22,265
6-Mar-22,645
13-Mar-22,970
20-Mar-22,740
27-Mar-22,430
3-Apr-22,620
10-Apr-22,565
17-Apr-22,655
24-Apr-22,1080
1-May-22,1215
8-May-22,670
15-May-22,185
22-May-22,1540
29-May-22,305
5-Jun-22,1000
12-Jun-22,1305
19-Jun-22,645
26-Jun-22,1335
3-Jul-22,895
10-Jul-22,1110
17-Jul-22,1450
24-Jul-22,1580
31-Jul-22,6670
7-Aug-22,4770
14-Aug-22,1805
21-Aug-22,190
28-Aug-22,1900
4-Sep-22,2045
11-Sep-22,0
18-Sep-22,0
25-Sep-22,1300
2-Oct-22,1470
9-Oct-22,1200
16-Oct-22,895
23-Oct-22,400
30-Oct-22,2550
6-Nov-22,1690
13-Nov-22,565
20-Nov-22,1475
27-Nov-22,2475
4-Dec-22,140
11-Dec-22,4935
18-Dec-22,3715
25-Dec-22,2535
1-Jan-23,1210
8-Jan-23,2060
15-Jan-23,1570
22-Jan-23,540
29-Jan-23,655
5-Feb-23,1480
12-Feb-23,2255
19-Feb-23,2785
26-Feb-23,2720
5-Mar-23,1725
12-Mar-23,4550
19-Mar-23,4685.00
26-Mar-23,2980
2-Apr-23,1695
9-Apr-23,1200
16-Apr-23,3230
23-Apr-23,1275
30-Apr-23,1475.00
7-May-23,1770.00
14-May-23,340.00
21-May-23,2985.00
28-May-23,1640
4-Jun-23,2105
11-Jun-23,3365
18-Jun-23,1685.00
25-Jun-23,1050
2-Jul-23,2805
9-Jul-23,2125.00
16-Jul-23,0
23-Jul-23,1080.00
30-Jul-23,970.00
6-Aug-23,2855
13-Aug-23,1760
20-Aug-23,860.00
27-Aug-23,2535.00
3-Sep-23,1535.00
10-Sep-23,1120.00
,
,
,
